,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
42,"CHERRY MX RGB Mechanical Keyboard with MX Red Silent Gold-Crosspoint Key switches for typists, Programmers, Creator, Coder, Work in The Office or at Home G80-3000N RGB (Full Size)",89,,Full Size,,,Cherry,,,CHERRY,,,,,,,,,China,,,G80-3838LWBUS-2,Backlit,,B09M76TX3L,,CHERRY MX G80-3000N RGB,,,,,,"#14,276 in Video Games (See Top 100 in Video Games)
#1,062 in PC Gaming Keyboards",,,,,,,"February 23, 2022",,,1.79 pounds,,,,,,17.32 x 5.51 x 1.38 inches,Black,,,,,,109,,,,,,,,,,Gaming,,RGB,,,,"10 ratings
4.3 out of 5 stars",,,,,,,,17.32 x 5.51 x 1.38 inches,USB,
43,"RAPOO XK200S Bluetooth Surface Pro Keyboard, 7 Colors Backlits for Surface Pro 7/6/5 (Pro 2017)/4 12.3 inch Tablet/Surface Pro 3 2014 Keyboard with Trackpad - Detachable Wireless Keyboard Type Cover",59,,Classic,,,Rapoo,,,RAPOO,,,,,,,,,,,,,"Trackpad, Rechargeable",,B09XB85R8X,,XK200,,,,,,"#2,714 in Tablet Keyboard Cases",,,,,,,"August 19, 2019",,,10.8 ounces,,,,,,11 x 9 x 1 inches,,,,,,,79,,,Microsoft Surface Pro 7/Pro 6/Surface Pro 5 (Pro 2017)/Pro 4 12.3 inch Tablet/Surface Pro 3 2014,,,,,,,Wireless,,,,,,,,,,,,,,11 x 9 x 1 inches,Bluetooth,
44,"Mechanical Gaming Keyboard RGB LED Red Backlit Wired Keyboard with Blue Switches, Compact Keyboard for Windows PC Gamers, Laptop, 87 Keys",24,,,,,Anivia,,,Anivia,,,,,,,,,,,,,背光,,B08QRBS1DJ,,MK1,,,,,,"#27,548 in Video Games (See Top 100 in Video Games)
#1,022 in PC Game Headsets
#1,053 in Mac Accessories",,,,,,,"December 16, 2020",,,2.4 pounds,,,,,,14.96 x 7.48 x 1.57 inches,Black Red,,,,,,87,,,"Compatible with Windows 10, Windows… See more",,,,,,,Gaming,,Single Color,Keycap_puller,,,"767 ratings
4.6 out of 5 stars",,,,,,,,,USB-A,
45,CHERRY Stream Keyboard TKL Wired USB Keyboard TenKeyLess Compact Version Without Number Pad. Super Silent Keystroke. Ideal for Office and Industrial Use. White,24,,,,,Cherry,,,CHERRY,,,,,,,,,,,,JK-8600US-0,Ergonomic,,B09N9D45F9,,,,,Plastic,,,"#2,329 in Computer Keyboards",,,,,,,"March 11, 2022",,,1.5 pounds,,,,,,14.84 x 6.42 x 0.71 inches,White,,,,,,93,,,PC,,,,,,,,,,,,,,,,,No,,,,14.84 x 6.42 x 0.71 inches,USB,
46,"NPET K10 Gaming Keyboard, LED Backlit, Spill-Resistant Design, Multimedia Keys, Quiet Silent USB Membrane Keyboard for Desktop, Computer, PC (Purple)",22,,Gaming Keyboard,,,NPET,,,NPET,,,,,,,,,China,,,K10,"Ergonomic, Waterproof, Backlit, Water Resistant",,B098JVBM6W,,K10,,,,,,"#1,130 in Video Games (See Top 100 in Video Games)
#49 in Mac Accessories
#69 in PC Gaming Keyboards",,,,,,,"July 2, 2021",,,1.92 pounds,,,,,,17 x 6 x 1 inches,Purple,,,,,,104,,,PC,,,,,,,Gaming,,,,,,"3,314 ratings
4.6 out of 5 stars",,,,No,,,,17 x 6 x 1 inches,USB,
47,"Rii RK907 Ultra-Slim Compact USB Wired Keyboard for Mac and PC,Windows 10/8 / 7 / Vista/XP (Black)",$11.99,,,,,Rii,,,Rii,,,,,,,,,,,,8541647984,Wireless,,B077P45VND,,,,,,,,#43 in Computer Keyboards,,,,,,,"November 21, 2017",,,1.23 pounds,,,,,,17.52 x 5.71 x 0.79 inches,Keyboard only (1-Pack),,,,,,104,,,PC,,,104,,,,USB,"Mac OS X 10.4 Tiger, Windows XP, Windows ME, Windows Vista, Windows 2000, Windows 10",,,,,"3,497 ratings
4.3 out of 5 stars",,,,No,,,,17.52 x 5.71 x 0.79 inches,Wired,
48,Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White,$119.99,,Huntsman Mini,,,Razer,,,Razer Inc.,,,,,,,,,China,Huntsman,,RZ03-03390300-R3M1,"Cutting Edge, Travel Keyboard, Bui… See more",,B08B3CFL6W,,,,,"Polybutylene Terephthalate, Aluminum",,,"#872 in Video Games (See Top 100 in Video Games)
#52 in PC Gaming Keyboards",,,,,,,"July 14, 2020",,,1.1 pounds,,,,,,4.07 x 11.56 x 1.45 inches,Mercury White,,,,,,,,,PC,,,,,,,Cable,,,,,,"8,201 ratings
4.7 out of 5 stars",,,,,PC,,,4.07 x 11.56 x 1.45 inches,USB Type C,
49,"LeadsaiL Wireless Keyboard and Mouse, Wireless Mouse and Keyboard Combo, Cordless USB Computer Keyboard and Mouse Set, Ergonomic, Silent, Compact Slim for Windows Laptop, Apple, iMac, Desktop, PC",29,,,,,LeadsaiL,,,LX-008,,,,,,,,,China,,,,,,B08GC19BQD,,,,,,,,#66 in Computer Keyboard & Mouse Combos,,,,,,,"December 9, 2019",,,1.34 pounds,3 AA batteries required.,,,,,14.57 x 5.51 x 0.2 inches,Grey,,,,,,,,,,,,,,,,,"Windows XP Home Edition, Linux, All Windows Server Versions 2000, Mac OS 9.X, IOS, Windows 10, Windows 98 See more",,,,Battery Powered,"3,525 ratings
4.2 out of 5 stars",,,,,,,,,USB,
50,"BTO USB Wired Keyboard, 104 Keys with Numeric Pad, Anti Spill and Dust Proof, Slim and Flexible Design, Compatible with Laptop Notebooks, Desktops PCs, Tablets, Towers, Windows 7, 8, 10, 11",9,,,,,BTO,,,BTO,,,,,,,,,China,,,,Ergonomic,,B09883YCB3,,,,,,,,#150 in Computer Keyboards,,,,,,,"June 29, 2021",,,1.44 ounces,,,,,,16 x 5 x 0.5 inches,Black,,,,,,104,,,"Laptop, PC, Tablet",,,104,,,,US,Windows 7,,,,,"563 ratings
4.1 out of 5 stars",,,,,,,,16 x 5 x 0.5 inches,USB,
51,"RedThunder K96 RGB Gaming Keyboard, Compact 96 Keys Mechanical Feeling Keyboard, White and Grey Retro Color Keycaps, RGB Backlit Ergonomic Anti-Ghosting Keyboard for PC Laptop Mac",$25.99,,,,,RedThunder,,,RedThunder,,,,,,,,,China,,,,Ergonomic,,B09TN7GJKK,,,,,Acrylonitrile Butadiene Styrene,,,"#3,804 in Video Games (See Top 100 in Video Games)
#261 in PC Gaming Keyboards",,,15.83 x 6.5 x 1.69 inches,,,,"March 1, 2022",,,1.61 pounds,,,,,,,White,,,,,,,,,PC,,,,,,,Gaming,,,,,,"5 ratings
4.5 out of 5 stars",,,,,,,,,Wired,
52,"Wireless Keyboard and Mouse Combo, Ultra Thin Quiet Portable Wireless Keyboard and 2.4GHz Wireless Mouse with Nano USB Receiver for Windows Laptop PC Notebook (White(Blue Keys))",29,,,,,SOOOO,,,SOOOO,,,,,,,,,China,,,YSX-001,,,B088PHVMP4,,,,,,,,#76 in Computer Keyboard & Mouse Combos,,,,,,,"May 16, 2020",,,15.8 ounces,2 AAA batteries required.,,,,,14.56 x 5.11 x 0.78 inches,A-White(Blue Keys),,,,,,,,,,,,,,,,,"Windows xp, Windows me, Windows 8, Windows vista, Windows 7, Windows 2000, Windows 10",,,,Battery Powered,"1,281 ratings
4.4 out of 5 stars",,,,,,,,,USB,
53,"Wired Keyboard and Mouse Combo, Ergonomic Keyboard, Optical Wired Mouse, for PC/Laptop/Smart TV and Windows 10/8/7",19,,,,,Generic,,,GUANLING123,,,,,,,,,China,,,,,,B09QQ937J9,,,,,,,,#157 in Computer Keyboard & Mouse Combos,,,17.83 x 11.77 x 2.24 inches,,,,"January 19, 2022",,,2.31 pounds,,,,,,,,,,,,,,,,,,,,,,,,Windows 10,,,,,"3 ratings
5.0 out of 5 stars",,,,,,,,,"RF, USB",
54,"60 Percent Mechanical Gaming Keyboard, Gray&Black Mixed Color Keycaps Gaming Keyboard with Red Switches, Detachable Type-C Cable Mini Keyboard with Powder Blue Light for Windows/Mac/PC/Laptop",26,,,,,Camiysn,,,Camiysn,,,,,,,,,China,,,,61 keys ergonomic mechanical keyboard with blue backlit both for gaming and office,,B09CT5N8DR,,60 percent mini mechanical keyboard with detachable type c cable,,,,,,"#2,859 in Video Games (See Top 100 in Video Games)
#191 in PC Gaming Keyboards",,,,,,,"August 17, 2021",,,1.48 pounds,,,,,,11.46 x 3.98 x 1.54 inches,Grey & black,,,,,,61,,,"Laptop, PC",,,,,,,60 % mechanical keyboard with blue backlit,,Single Color,60% mechaniacl gaming keyboard,,,"260 ratings
4.5 out of 5 stars",,,,,,,,,Wired,
55,"ROCHIE 60% Percent Keyboard, Wireless Gaming Keyboard, Gaming Keyboard 60 Percent, 2.4G Computer Keyboard with Wrist Rest, Compatible with Mac OS and Windows, for Desktop Laptop PC(Black)",29,,,,,ROCHIE,,,ROCHIE,,,,,,,,,China,,,,Travel,,B09Q91R2QM,,,,,,,,"#2,021 in Computer Keyboards",,,,,,,"January 11, 2022",,,1.2 pounds,,,,,,12.5 x 7.3 x 1.7 inches,Black,,,,,,63,,,"Desktop, Laptop, PC",,,,,,,Wireless,,RGB,USB Cable,,,"6 ratings
4.0 out of 5 stars",,,,,,,,12.5 x 7.3 x 1.7 inches,Wireless,
56,"Wireless Keyboard and Mouse Ultra Slim Combo, TopMate 2.4G Silent Compact USB Mouse and Scissor Switch Keyboard Set with Cover, 2 AA and 2 AAA Batteries, for PC/Laptop/Windows/Mac - White",34,,,,,TopMate,,,TopMate,,,,,,,,,,,,KM9000,,,B06XHY8J7M,,,,,,,,"#389 in Video Games (See Top 100 in Video Games)
#12 in PC Gaming Keyboards",,,,,,,"March 10, 2017",,,12.3 ounces,2 AAA batteries required.,,,,,14.57 x 0.75 x 5.51 inches,White,,,,,,,,,,,,,,,,,Windows XP,,,,Battery Powered,"4,393 ratings
4.2 out of 5 stars",,,,No,,,,,Wireless,
57,"Wireless Keyboard and Mouse Combo, E-YOOSO 2.4G Full-Sized Ergonomic Keyboard Mouse Combo with Wrist Rest, 3 DPI Adjustable Wireless Optical Mice with USB Nano Receiver, for Laptop/Windows/Mac OS/PC",32,,,,,E-YOOSO,,,E-YOOSO,,,,,,,,,China,,,,,,B096KBZ7NP,,,,,,,,#48 in Computer Keyboard & Mouse Combos,,,17.68 x 11.1 x 1.93 inches,,,,"June 3, 2021",,,2.28 pounds,,,,,,,,,,,,,,,,,,,,,,,,"Windows me, Windows xp, Windows vista, Mac os, Windows 2000",,,,Battery Powered,"789 ratings
4.0 out of 5 stars",,,,,,,,,"RF, USB",
58,"Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit Ultra-Compact Mini Keyboard, Waterproof Mini Compact 61 Keys Keyboard for PC/Mac Gamer, Typist, Travel, Easy to Carry on Business Trip(Black-White)",29,,,,,Snpurdiri,,,SnpurTech,,,,,,,,,China,,,,"Ergonomic, Waterproof, Backlit",,B097T276QL,,,,,,,,"#634 in Video Games (See Top 100 in Video Games)
#28 in PC Gaming Keyboards",,,12.64 x 5.16 x 2.05 inches,,,,"June 7, 2021",,,1.08 pounds,,,,,,,Black and White,,,,,,61,,,PC,,,61,,,,游戏,,,,,,"2,651 ratings
4.3 out of 5 stars",,,,,,,,,USB,
59,"Wireless Keyboard and Mouse Combo, seenda USB / Type C Wireless Mouse and Keyboard for Mac and Windows, USB C Full Size Round Key Cute Keyboard for Mac, Windows 7/8/10, Laptop, Computer (Purple Green)",29,,,,,Seenda,,,seenda,,,,,,,,,China,,,,,,B095VLRB2J,,,,,,,,#40 in Computer Keyboard & Mouse Combos,,,17.76 x 5.16 x 1.81 inches,,,,"August 6, 2021",,,1.67 pounds,,,,,,,Purple Green,,,,,,,,,,,,,,,,,"Chrome OS, Windows, Mac OS",,,,Battery Powered,"517 ratings
4.5 out of 5 stars",,,,,,,,,"RF, USB",
60,"Typewriter Style Mechanical Gaming Keyboard, White Retro Punk Gaming Keyboard with Blue Backlit, 104 Keys Blue Switch Wired Cute Keyboard, Round Keycaps for Windows/Mac/PC",36,,Steampunk,,,Camiysn,,,Camiysn,,,,,,,,,China,,,,Steampunk typewriter style white keyboard with blue backlit,,B096DS1R8P,New,,,,,,,"#1,505 in Video Games (See Top 100 in Video Games)
#93 in PC Gaming Keyboards",,,,,,,"June 2, 2021",,,2.13 pounds,,,,,,17.09 x 4.93 x 1.34 inches,,,,,,,104,,,Laptop/PC,,,,,,,Clicky mechanical keyboard for gaming and office,,Single Color,,,,"447 ratings
4.6 out of 5 stars",,,,,,,,17.09 x 4.93 x 1.34 inches,USB,
61,Mechanical Gaming Keyboard in Lipstick Style Metal Vintage Steampunk Retro White Backlit 104 Keys Anti-Ghosting Round Keycaps Metal Panel Wired USB for PC Mac Laptop(K520),59,,K520,,,VINMEN,,,VINMEN,,,,,,,,,,,,K520-KH,Ergonomic,,B099KJD5QC,,K520-KH,,,,,,"#9,179 in Video Games (See Top 100 in Video Games)
#177 in Mac Gaming Keyboards
#681 in PC Gaming Keyboards",,,,,,,"July 15, 2021",,,2.68 pounds,,,,,,18 x 6 x 2 inches,Red,,,,,,104,,,PC / MAC / Laptop,,,,,,,Mechanical,,RGB,,,,"102 ratings
4.7 out of 5 stars",,,,,,,,,USB,
62,havit Wired Gaming Keyboard Mouse Combo LED Rainbow Backlit Gaming Keyboard RGB Gaming Mouse Ergonomic Wrist Rest 104 Keys Keyboard Mouse 4800 DPI for Windows PC Gamers (Black),$31.99,,,,,Havit,,,,,,,,,,,,,,,,,,,,,,,,,,"#474 in Video Games (See Top 100 in Video Games)
#16 in PC Gaming Keyboards",,,,,,,,,,,,,,,,,Black,,,,,1 MB,,,,,,,,,,,,Windows 2000 / 2003 / XP / Vista / Win7 / Win8 /Win10,,,,DC,"19,134 ratings
4.5 out of 5 stars",,,,,,,,,Wired,
63,"PEIOUS Wireless Mouse and Keyboard, USB and Type C Cute Wireless Keyboard Mouse Combo, Full Size Round Key Cordless Keyboard for Mac, Windows 7/8/10, Chrome OS, Laptop, Computer (Pink)",29,,,,,PEIOUS,,,PEIOUS,,,,,,,,,China,,,,,,B09BCBKGY7,,,,,,,,#85 in Computer Keyboard & Mouse Combos,,,17.56 x 5.2 x 1.85 inches,,,,"September 23, 2021",,,1.63 pounds,,,,,,,Pink,,,,,,,,,,,,,,,,,"Chrome OS, Windows, Mac OS",,,,Battery Powered,"205 ratings
4.6 out of 5 stars",,,,,,,,,USB,
64,"Manhattan Wired Computer Keyboard, Black – Basic Keyboard - with 5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Year Warranty - 179324",11,,,,,Manhattan Products,,,Manhattan,,,,,,,,,,,,179324-UK,Foldable,,B07RQVB3HQ,,,,,,,,#15 in Computer Keyboards,,,17.95 x 5.79 x 1.3 inches,,,,"May 14, 2019",,,14.4 ounces,,,,,,,Black,,,,,,104,,,"Laptop, PC",,,104,,,,Ergonomic,,,,,,"4,602 ratings
4.1 out of 5 stars",,,,,,,,,Wired,
65,"Motospeed Bluetooth/Wired 60% Mechanical Keyboard- 61 Keys Multi Color RGB LED Backlit Type-C Gaming/Office Keyboard for PC/Mac Gamer (Red Switch, White)",35,,,,,MOTOSPEED,,,MOTOSPEED,,,,,,,,,,,,MSCK62-whitered,"Wireless, Bluetooth, Lighting",,B07HFR85SB,,,,,Acrylonitrile Butadiene Styrene,,,"#13,273 in Video Games (See Top 100 in Video Games)
#261 in Mac Gaming Keyboards
#992 in PC Gaming Keyboards",,,,,,,"September 17, 2018",,,1.39 pounds,,,,,,11.42 x 3.94 x 1.77 inches,White,,,,,,61,,,"Laptop, PC, Tablet, Smartphone",,,61,,,,Gaming,,,,,,"3,056 ratings
4.4 out of 5 stars",,,,No,,,,11.42 x 3.94 x 1.77 inches,"Wireless, Wired",
66,CHERRY Stream Keyboard TKL Wired USB Keyboard TenKeyLess Compact Version Without Number Pad. Super Silent Keystroke. Ideal for Office and Industrial Use.,24,,Classic,,,Cherry,,,CHERRY,,,,,,,,,,,,JK-8600US-2,Ergonomic,,B09N9CPX34,3rd Generation,CHERRY STREAM TKL Wired,,,,,,#392 in Computer Keyboards,,,,,,,"March 14, 2022",,,1.5 pounds,,,,,,14.84 x 6.42 x 0.71 inches,,,,,,,93,,,PC,,,,,,,Flexible,,,USB Cable,,,"8 ratings
4.7 out of 5 stars",,,,,,,,,USB,
67,"Wireless Keyboard and Mouse Combo,2.4GHz Dropout-Free Connection,Full Size Slim Thin Wireless Keyboard with Palm Rest and Comfortable Mouse (Black Grey)",42,,,,,Lucloud,,,shenzhenshi huansheng kejiyouxiangongsi,,,,,,,,,,,,,,,B083LKLMDF,,,,,,,,#903 in Computer Keyboard & Mouse Combos,,,18 x 5 x 2 inches,,,,"January 8, 2020",,,2 pounds,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,Battery Powered,"773 ratings
4.3 out of 5 stars",,,,,,,,,"RF, USB",
68,"Wireless Keyboard Mouse Combo, cimetech Compact Full Size Wireless Keyboard and Mouse Set Less Noise Keys 2.4G Ultra-Thin Sleek Design for Windows, Computer, PC, Notebook, Laptop (Bright Pink)",34,,,,,Cimetech,,,cntorich,,,,,,,,,,,,,,,B08KXJ9BCH,,,,,,,,#51 in Computer Keyboard & Mouse Combos,,,17.5 x 5 x 1 inches,,,,"October 9, 2020",,,1.3 pounds,,,,,,,Pink,,,,,,,,,,,,,,,,,"Windows xp, Windows 8, Windows vista, Windows 7, Windows 10",,,,Battery Powered,"3,164 ratings
4.3 out of 5 stars",,,,,,,,,USB,
69,"Wireless Keyboard Mouse Combo，RaceGT Energy Saving Silent Ultra-Thin Full Sized Wireless Keyboard and Mouse 3 Level DPI Adjustable Mouse for Computer, Laptop and Desktop(Silver)",29,,,,,RaceGT,,,torich,,,,,,,,,China,,,,,,B09839CMHL,,,,,,,,"#2,852 in Video Games (See Top 100 in Video Games)
#189 in PC Gaming Keyboards",,,14.92 x 5.87 x 1.81 inches,,,,"June 28, 2021",,,1.36 pounds,,,,,,,Silver,,,,,,,,,,,,,,,,,"Windows xp, Windows vista",,,,Battery Powered,"258 ratings
4.4 out of 5 stars",,,,,,,,,USB,
70,"Apple Smart Keyboard for iPad (9th, 8th and 7th Generation) and iPad Air (3rd Generation) - US English",143,,US English,,,Apple,,,,,,,,,,,,,,,,"Ergonomic, Foldable",,,,IPad Smart Keyboard,,,,,,,,,,,,,,,,,,,,,,,Charcoal,,,,,,64,,,"IPad (7th Generation), IPad Air (3rd Generation), IPad Pro 10.5-inch, IPad (8th Generation), IPad (9th Generation) See more",,,,,,,Multi Functional,,,"Apple Smart Keyboard for iPad (9th, 8th and 7th Generation) and iPad Air (3rd Generation) - US English See more",,,,,,,,,,,,"Magnetic, Smart Connector",
71,"UBOTIE Colorful Computer Wireless Keyboards Mouse Combos, Typewriter Flexible Keys Office Full-Sized Keyboard, 2.4GHz Dropout-Free Connection and Optical Mouse (Green-Colorful)",39,,,,,UBOTIE,,,KKT,,,,,,,,,,,,KKKKT-04,,,B087JW1HGX,,,,,,,,#36 in Computer Keyboard & Mouse Combos,,,,,,,"June 7, 2020",,,1.4 pounds,2 AA batteries required.,,,,,17.13 x 5.12 x 0.98 inches,Green-colorful,,,,,,,,,,,,,,,,,"Mac OS X, Windows 10",,,,Battery Powered,"8,559 ratings
4.5 out of 5 stars",,,,,,,,,Radio Frequency,
72,"Logitech G413 TKL SE Mechanical Gaming Keyboard - Compact Backlit Keyboard with Tactile Mechanical Switches, Anti-Ghosting, Compatible with Windows, macOS - Black Aluminum",69,,G413 TKL SE,,,Logitech G,,,Logitech,,,,,,,,,China,G413 TKL,,920-010442,"Wear Resistant, Anti-ghosting, Heat Resistant, Multi-key Rollover, Compact Keyboard",,B08Z7J4KV3,,,,,,,,"#2,982 in Video Games (See Top 100 in Video Games)
#132 in Mac Accessories
#198 in PC Gaming Keyboards",,,,,,,"January 25, 2022",,,1.43 pounds,,,,,,13.97 x 5 x 1.43 inches,Black Brushed Aluminum,,,,,,104,,,,,,,,,,Gaming,,,"User documentation, G413 TKL SE LED mechanical gaming keyboard",,Corded Electric,"16 ratings
4.1 out of 5 stars",,,,,"Laptop, PC",,,13.97 x 5 x 1.43 inches,USB 2.0,
73,"Keyboard Wired RGB Gaming Keyboard, Membrane Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Plug and Play",13,,,,,Witcatas,,,witcatas,,,,,,,,,,,,,Non-slip,,B09TP62WL3,,,,,,,,#627 in Computer Keyboards,,,17.68 x 8.74 x 1.18 inches,,,,"March 1, 2022",,,1.79 pounds,,,,,,,Black,,,,,,25,,,PC,,,25,,,,Gaming,,,,,,"5 ratings
4.8 out of 5 stars",,,,,,,,,Wired,
74,"Mechanical Keyboard and Mouse, Havit Wired Gaming Keyboard Blue Switch 104 Keys Rainbow Backlit Keyboard and 7 Button Wired Mouse 4800 DPI for PC Computer Gamer (Black)",36,,,,,Havit,,,havit,,,,,,,,,China,,,HV-KB393L-B,,,B07W1HXM4J,,,,,,,,"#776 in Video Games (See Top 100 in Video Games)
#43 in PC Gaming Keyboards",,,,,,,"August 5, 2019",,,2.46 pounds,,,,,,17.05 x 4.88 x 1.38 inches,Black,,,,,,104,,,,,,,,,,,"Linux, Chrome OS, Mac OS",,,,,"7,126 ratings
4.6 out of 5 stars",,,,,,,,,Wired,
75,Razer Ornata V2 Gaming Keyboard: Hybrid Mechanical Key Switches - Customizable Chroma RGB Lighting - Individually Backlit Keys - Detachable Plush Wrist Rest - Programmable Macros,47,,Ornata v2,,,Razer,,,Razer Inc.,,,,,,,,,,,,RZ03-03380200-R3U1,Magnetic,,B086PDNSPP,,Ornata v2,,,,,,"#757 in Video Games (See Top 100 in Video Games)
#38 in PC Gaming Keyboards",,,,,,,"June 2, 2020",,,3.5 pounds,,,,,,60.68 x 18.24 x 1.22 inches,Black,,,,,,110,,,PC,,,,,,,Gaming,,,,,,"11,007 ratings
4.7 out of 5 stars",,,,No,,,,60.68 x 18.24 x 1.22 inches,Wired - Attached,
76,"MageGee Mechanical Gaming Keyboard with Blue Switch, Compact 87 Keys Wired Computer Keyboard for Windows Laptop PC Gamer, LED White Backlit, Pink",26,,,,,MageGee,,,MageGee,,,,,,,,,,,,,Non-slip,,B08CW36BD9,,,,,Metal,,,"#22,883 in Video Games (See Top 100 in Video Games)
#435 in Mac Gaming Keyboards
#1,598 in PC Gaming Keyboards",,,,,,,"July 13, 2020",,,2.23 pounds,,,,,,13.9 x 5.1 x 1.4 inches,Pink/Blue Switch,,,,,,87,,,"Laptop, PC",,,87,,,,Gaming,,,,,,"565 ratings
4.6 out of 5 stars",,,,,,,,13.9 x 5.1 x 1.4 inches,USB,
77,"Wireless Keyboard and Mouse Combo for PC Computer & Laptop, Full-Size Keyboard and Mouse Colorful with USB Receiver Tablets/Phones Cradle Battery Powered, Grey",29,,,,,MICROPACK Digitally Yours,,,MICROPACK Digitally Yours,,,,,,,,,China,,,,,,B09MW5V7C4,,,,,,,,#555 in Computer Keyboard & Mouse Combos,,,15 x 5 x 1 inches,,,,"December 2, 2021",,,1 pounds,,,,,,,Grey,,,,,,,,,,,,,,,,,Linux,,,,Battery Powered,,,,,,,,,,USB 2.4G Wireless,
78,"PONVIT PC230 Wireless Keyboard Mouse Combo, Energy Saving, Slim Quick 2.4GHz Cordless Full Size Computer Keyboard Silent & 3 Adjustable DPI USB Mouse Independent On/Off Switch for PC Laptop, Black",20,,,,,PONVIT,,,,,,,,,,,,,,,,,,,,,,,,,,#7 in Computer Keyboard & Mouse Combos,,,,,,,,,,,,,2.4 GHz Radio Frequency,,,,Black,,,,,,,,,,,,,,,,,"Linux, Chrome OS, Windows, Mac OS, Android",,,,Battery Powered,"773 ratings
4.4 out of 5 stars",,,,,,,,,Wireless,
79,Logitech G815 RGB Mechanical Wired Gaming Keyboard - Clicky - Black (Renewed),$169.99,,Clicky,,,Logitech,,,LOGITECH CORE,,,,,,,,,China,,,,Lighting,,B08T6CSXKH,,,,,Aluminum,,,"#3,471 in Video Games (See Top 100 in Video Games)
#240 in PC Gaming Keyboards",,,,,,,"March 16, 2020",,,3.24 pounds,,,,,,20.6 x 9.5 x 1.8 inches,Black,,,,,,,,,,,,,,,,Gaming,Microsoft Windows,,,,,"186 ratings
4.6 out of 5 stars",,,,No,,,,20.6 x 9.5 x 1.8 inches,USB,
80,"Wired RGB Gaming Keyboard, Membrane Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Plug and Play",19,,,,,Generic,,,XPXC,,,,,,,,,China,,,PC232A,Non-slip,,B09CPLT95Z,,,,,,,,"#4,234 in Video Games (See Top 100 in Video Games)
#302 in PC Gaming Keyboards",,,17.4 x 9.2 x 1.4 inches,,,,"November 18, 2021",,,1.4 pounds,,,,,,,,,,,,,25,,,PC,,,25,,,,Gaming,,,USB Cable,,,"52 ratings
4.7 out of 5 stars",,,,,,,,,Usb,
81,"Havit Mechanical Keyboard and Mouse Combo RGB Gaming 104 Keys Blue Switches Wired USB Keyboards with Detachable Wrist Rest, Programmable Gaming Mouse for PC Gamer Computer Desktop (Black)",44,,,,,Havit,,,havit,,,,,,,,,,,,HV-KB389L,,,B07QS6MG8B,,,,,,,,"#951 in Video Games (See Top 100 in Video Games)
#60 in PC Gaming Keyboards",,,,,,,"April 16, 2019",,,2.64 pounds,,,,,,17 x 8.1 x 2.1 inches,Black,,,,,,104,,,,,,,,,,,"Linux, Windows 8, Windows 7, Windows 2000, Windows 10",,,,,"9,965 ratings
4.6 out of 5 stars",,,,No,,,,,Wired,
82,"Foldable Bluetooth Keyboard with Touchpad - Dual Mode Rechargeable Bluetooth & USB Wired Portable Mini BT Wireless Keyboard with Trackpad for Android, Windows, PC, Tablet (Black)",32,,,,,Unipows,,,Unipows,,,,,,,,,,,,,"Foldable, Trackpad, Rechargeable",,B09Y8K6XKD,,,,,Aluminum,,,#432 in Computer Keyboards,,,6.73 x 4.17 x 1.65 inches,,,,"April 19, 2022",,,9.9 ounces,,,,,,,Black,,,,,,,,,"Laptop, PC, Tablet",,,,,,,USB,"Windows, Android",,,,,,,,,,,,,,"Bluetooth, USB",
